Tarih,,,Value
2025-07-31T13:53:47+03:00,,,6.88
2025-07-31T13:56:46+03:00,,,6.95
2025-07-31T13:59:47+03:00,,,7.05
2025-07-31T14:02:46+03:00,,,7.12
2025-07-31T14:05:46+03:00,,,7.24
2025-07-31T14:08:46+03:00,,,7.32
2025-07-31T14:11:47+03:00,,,7.45
2025-07-31T14:14:46+03:00,,,7.56
2025-07-31T14:17:46+03:00,,,7.66
2025-07-31T14:20:46+03:00,,,7.76
2025-07-31T14:23:47+03:00,,,7.81
2025-07-31T14:26:46+03:00,,,7.74
2025-07-31T14:29:46+03:00,,,7.66
2025-07-31T14:32:47+03:00,,,7.53
2025-07-31T14:35:46+03:00,,,7.4
2025-07-31T14:38:47+03:00,,,7.24
2025-07-31T14:41:46+03:00,,,7.12
2025-07-31T14:44:47+03:00,,,6.98
2025-07-31T14:47:47+03:00,,,6.84
2025-07-31T14:50:46+03:00,,,6.77
2025-07-31T14:53:46+03:00,,,6.82
2025-07-31T14:56:47+03:00,,,6.92
2025-07-31T14:59:46+03:00,,,7.02
2025-07-31T15:02:47+03:00,,,7.09
2025-07-31T15:05:47+03:00,,,7.18
2025-07-31T15:08:46+03:00,,,7.32
2025-07-31T15:11:47+03:00,,,7.45
2025-07-31T15:14:47+03:00,,,7.56
2025-07-31T15:17:47+03:00,,,7.67
2025-07-31T15:20:46+03:00,,,7.77
2025-07-31T15:23:46+03:00,,,7.74
2025-07-31T15:26:47+03:00,,,7.7
2025-07-31T15:29:47+03:00,,,7.59
2025-07-31T15:32:46+03:00,,,7.46
2025-07-31T15:35:46+03:00,,,7.33
2025-07-31T15:38:46+03:00,,,7.18
2025-07-31T15:41:46+03:00,,,7.02
2025-07-31T15:44:46+03:00,,,6.9
2025-07-31T15:47:46+03:00,,,6.77
2025-07-31T15:50:46+03:00,,,6.75
2025-07-31T15:53:46+03:00,,,6.74
2025-07-31T15:56:46+03:00,,,6.81
2025-07-31T15:59:46+03:00,,,6.88
2025-07-31T16:02:47+03:00,,,6.95
2025-07-31T16:05:46+03:00,,,7.06
2025-07-31T16:08:47+03:00,,,7.15
2025-07-31T16:11:46+03:00,,,7.24
2025-07-31T16:14:46+03:00,,,7.34
2025-07-31T16:17:46+03:00,,,7.43
2025-07-31T16:20:46+03:00,,,7.56
2025-07-31T16:23:46+03:00,,,7.66
2025-07-31T16:26:46+03:00,,,7.69
2025-07-31T16:29:46+03:00,,,7.64
2025-07-31T16:32:46+03:00,,,7.57
2025-07-31T16:35:47+03:00,,,7.45
2025-07-31T16:38:46+03:00,,,7.32
2025-07-31T16:41:47+03:00,,,7.15
2025-07-31T16:44:46+03:00,,,6.99
2025-07-31T16:47:46+03:00,,,6.85
2025-07-31T16:50:46+03:00,,,6.77
2025-07-31T16:53:46+03:00,,,6.72
2025-07-31T16:56:46+03:00,,,6.74
2025-07-31T16:59:46+03:00,,,6.8
2025-07-31T17:02:47+03:00,,,6.88
2025-07-31T17:05:46+03:00,,,6.92
2025-07-31T17:08:47+03:00,,,7.03
2025-07-31T17:11:46+03:00,,,7.12
2025-07-31T17:14:46+03:00,,,7.2
2025-07-31T17:17:46+03:00,,,7.45
2025-07-31T17:20:46+03:00,,,7.6
2025-07-31T17:23:46+03:00,,,7.7
2025-07-31T17:26:46+03:00,,,7.7
2025-07-31T17:29:46+03:00,,,7.61
2025-07-31T17:32:46+03:00,,,7.53
2025-07-31T17:35:46+03:00,,,7.4
2025-07-31T17:38:46+03:00,,,7.23
2025-07-31T17:41:46+03:00,,,7.08
2025-07-31T17:44:46+03:00,,,6.92
2025-07-31T17:47:46+03:00,,,6.81
2025-07-31T17:50:46+03:00,,,6.71
2025-07-31T17:53:46+03:00,,,6.67
2025-07-31T17:56:46+03:00,,,6.68
2025-07-31T17:59:46+03:00,,,6.72
2025-07-31T18:02:46+03:00,,,6.81
2025-07-31T18:05:47+03:00,,,6.9
2025-07-31T18:08:46+03:00,,,6.98
2025-07-31T18:11:46+03:00,,,7.08
2025-07-31T18:14:46+03:00,,,7.18
2025-07-31T18:17:46+03:00,,,7.27
2025-07-31T18:20:46+03:00,,,7.42
2025-07-31T18:23:46+03:00,,,7.51
2025-07-31T18:26:46+03:00,,,7.59
2025-07-31T18:29:46+03:00,,,7.59
2025-07-31T18:32:46+03:00,,,7.51
2025-07-31T18:35:46+03:00,,,7.42
2025-07-31T18:38:46+03:00,,,7.29
2025-07-31T18:41:47+03:00,,,7.15
2025-07-31T18:44:46+03:00,,,7.01
2025-07-31T18:47:46+03:00,,,6.88
2025-07-31T18:50:46+03:00,,,6.71
2025-07-31T18:53:46+03:00,,,6.57
2025-07-31T18:56:46+03:00,,,6.53
2025-07-31T18:59:47+03:00,,,6.53
2025-07-31T19:02:46+03:00,,,6.55
2025-07-31T19:05:47+03:00,,,6.61
2025-07-31T19:08:46+03:00,,,6.72
2025-07-31T19:11:46+03:00,,,6.81
2025-07-31T19:14:46+03:00,,,6.92
2025-07-31T19:17:46+03:00,,,7.03
2025-07-31T19:20:46+03:00,,,7.12
2025-07-31T19:23:46+03:00,,,7.24
2025-07-31T19:26:47+03:00,,,7.39
2025-07-31T19:29:46+03:00,,,7.51
2025-07-31T19:32:46+03:00,,,7.57
2025-07-31T19:35:46+03:00,,,7.57
2025-07-31T19:38:46+03:00,,,7.51
2025-07-31T19:41:46+03:00,,,7.39
2025-07-31T19:44:46+03:00,,,7.27
2025-07-31T19:47:46+03:00,,,7.15
2025-07-31T19:50:46+03:00,,,6.99
2025-07-31T19:53:46+03:00,,,6.88
2025-07-31T19:56:46+03:00,,,6.71
2025-07-31T19:59:46+03:00,,,6.58
2025-07-31T20:02:46+03:00,,,6.51
2025-07-31T20:05:46+03:00,,,6.5
2025-07-31T20:08:46+03:00,,,6.57
2025-07-31T20:11:46+03:00,,,6.61
2025-07-31T20:14:46+03:00,,,6.7
2025-07-31T20:17:46+03:00,,,6.8
2025-07-31T20:20:46+03:00,,,6.91
2025-07-31T20:23:46+03:00,,,7.03
2025-07-31T20:26:46+03:00,,,7.16
2025-07-31T20:29:46+03:00,,,7.24
2025-07-31T20:32:46+03:00,,,7.4
2025-07-31T20:35:46+03:00,,,7.51
2025-07-31T20:38:46+03:00,,,7.6
2025-07-31T20:41:47+03:00,,,7.56
2025-07-31T20:44:46+03:00,,,7.49
2025-07-31T20:47:46+03:00,,,7.37
2025-07-31T20:50:46+03:00,,,7.26
2025-07-31T20:53:46+03:00,,,7.15
2025-07-31T20:56:46+03:00,,,7.03
2025-07-31T20:59:46+03:00,,,6.85
2025-07-31T21:02:46+03:00,,,6.71
2025-07-31T21:05:46+03:00,,,6.57
2025-07-31T21:08:46+03:00,,,6.5
2025-07-31T21:11:46+03:00,,,6.5
2025-07-31T21:14:46+03:00,,,6.51
2025-07-31T21:17:46+03:00,,,6.6
2025-07-31T21:20:46+03:00,,,6.7
2025-07-31T21:23:46+03:00,,,6.77
2025-07-31T21:26:46+03:00,,,6.88
2025-07-31T21:29:46+03:00,,,6.99
2025-07-31T21:32:46+03:00,,,7.09
2025-07-31T21:35:46+03:00,,,7.2
2025-07-31T21:38:47+03:00,,,7.34
2025-07-31T21:41:46+03:00,,,7.49
2025-07-31T21:44:46+03:00,,,7.57
